Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FullSuite,Chrome 61.0.3163.100,,2017-10-30 09:20:18,2017-10-30 09:21:59,"1m - 41,268s",FAILED
,,,,,,
Test Cases/page1_loginPage/TC_01_apertura pagina di login-closeBrowser,Chrome 61.0.3163.100,Apertura pagina e verifica esistenza degli oggetti corretti,2017-10-30 09:20:19,2017-10-30 09:20:31,"12,603s",PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 09:20:20,2017-10-30 09:20:26,"6,424s",PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 09:20:26,2017-10-30 09:20:28,"1,260s",PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 09:20:28,2017-10-30 09:20:29,"1,146s",PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-30 09:20:29,2017-10-30 09:20:29,"0,272s",PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-30 09:20:29,2017-10-30 09:20:29,"0,089s",PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-30 09:20:29,2017-10-30 09:20:29,"0,086s",PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-30 09:20:29,2017-10-30 09:20:29,"0,072s",PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-30 09:20:29,2017-10-30 09:20:31,"1,872s",PASSED
,,,,,,
Test Cases/page1_loginPage/TC_02_Credenziali corrette,Chrome 61.0.3163.100,Inserimento credenziali corrette e verifica indirizzamento homepage,2017-10-30 09:20:31,2017-10-30 09:20:43,"11,337s",PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-30 09:20:32,2017-10-30 09:20:37,"5,075s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 09:20:37,2017-10-30 09:20:38,"0,501s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 09:20:38,2017-10-30 09:20:38,"0,299s",PASSED
click,Chrome 61.0.3163.100,,2017-10-30 09:20:38,2017-10-30 09:20:39,"0,625s",PASSED
waitForElementPresent,Chrome 61.0.3163.100,,2017-10-30 09:20:39,2017-10-30 09:20:42,"3,054s",PASSED
Statement - selfWindowTitle = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 61.0.3163.100,,2017-10-30 09:20:42,2017-10-30 09:20:42,"0,034s",PASSED
verifyEqual,Chrome 61.0.3163.100,,2017-10-30 09:20:42,2017-10-30 09:20:42,"0,022s",PASSED
Statement - selfUrl = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 61.0.3163.100,,2017-10-30 09:20:42,2017-10-30 09:20:42,"0,029s",PASSED
verifyEqual,Chrome 61.0.3163.100,,2017-10-30 09:20:42,2017-10-30 09:20:42,"0,003s",PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-30 09:20:42,2017-10-30 09:20:43,"0,950s",PASSED
