Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_00_FunzionalitaGenerali,Chrome 62.0.3202.94,,2017-12-05 18:55:51,2017-12-05 18:57:38,"1m - 46,750s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a1_apertura pagina di login-closeBrowser,Chrome 62.0.3202.94,Apertura pagina e verifica esistenza degli oggetti corretti,2017-12-05 18:55:52,2017-12-05 18:56:00,"8,217s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-12-05 18:55:53,2017-12-05 18:55:57,"4,100s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-12-05 18:55:57,2017-12-05 18:55:58,"1,202s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-12-05 18:55:58,2017-12-05 18:55:59,"0,875s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:55:59,2017-12-05 18:55:59,"0,201s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:55:59,2017-12-05 18:55:59,"0,078s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:55:59,2017-12-05 18:55:59,"0,064s",PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:55:59,2017-12-05 18:55:59,"0,093s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:55:59,2017-12-05 18:56:00,"0,681s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a2_Credenziali corrette,Chrome 62.0.3202.94,Inserimento credenziali corrette e verifica indirizzamento homepage,2017-12-05 18:56:00,2017-12-05 18:56:12,"12,118s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:56:00,2017-12-05 18:56:06,"5,174s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:56:06,2017-12-05 18:56:06,"0,571s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:56:06,2017-12-05 18:56:07,"0,351s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:56:07,2017-12-05 18:56:07,"0,429s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-05 18:56:07,2017-12-05 18:56:11,"4,089s",PASSED
Statement - selfWindowTitle = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 62.0.3202.94,,2017-12-05 18:56:11,2017-12-05 18:56:11,"0,127s",PASSED
verifyEqual,Chrome 62.0.3202.94,,2017-12-05 18:56:11,2017-12-05 18:56:11,"0,018s",PASSED
Statement - selfUrl = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 62.0.3202.94,,2017-12-05 18:56:11,2017-12-05 18:56:11,"0,080s",PASSED
verifyEqual,Chrome 62.0.3202.94,,2017-12-05 18:56:11,2017-12-05 18:56:11,"0,003s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:56:11,2017-12-05 18:56:12,"0,697s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a3_Credenziali vuote,Chrome 62.0.3202.94,Inserimento credenziali vuote e verifica messaggio d'errore,2017-12-05 18:56:12,2017-12-05 18:56:19,"7,322s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:56:12,2017-12-05 18:56:17,"5,049s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:56:17,2017-12-05 18:56:18,"0,232s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:56:18,2017-12-05 18:56:18,"0,427s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:56:18,2017-12-05 18:56:18,"0,293s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 18:56:18,2017-12-05 18:56:19,"0,265s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:56:19,2017-12-05 18:56:19,"0,746s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a4_Credenziali  - pass no,Chrome 62.0.3202.94,"Inserimento user corretto - password errata, visualizzazione del corretto messaggio d'errore",2017-12-05 18:56:19,2017-12-05 18:56:27,"7,409s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:56:20,2017-12-05 18:56:25,"4,919s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:56:25,2017-12-05 18:56:25,"0,444s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:56:25,2017-12-05 18:56:26,"0,406s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:56:26,2017-12-05 18:56:26,"0,296s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 18:56:26,2017-12-05 18:56:26,"0,243s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:56:26,2017-12-05 18:56:27,"0,755s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a5_Credenziali - user no,Chrome 62.0.3202.94,Inserimento credenziali user errato - password corretta e verifica corretto messaggio d'errore,2017-12-05 18:56:27,2017-12-05 18:56:34,"7,261s",PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 18:56:27,2017-12-05 18:56:32,"4,766s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:56:32,2017-12-05 18:56:32,"0,401s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 18:56:32,2017-12-05 18:56:33,"0,248s",PASSED
click,Chrome 62.0.3202.94,,2017-12-05 18:56:33,2017-12-05 18:56:33,"0,445s",PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 18:56:33,2017-12-05 18:56:33,"0,295s",PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 18:56:33,2017-12-05 18:56:34,"0,688s",PASSED
,,,,,,
Test Cases/00a_loginPage/TC_00a6_Credenziali Errate,Chrome 62.0.3202.94,Inserimento entrambe credenziali errate e verifica messaggio d'errore,2017-12-05 18:56:34,2017-12-05 18:56:43,"8,585s",PASSED
