Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_02_ProductLines,Firefox 57.0,,2017-12-05 18:34:30,2017-12-05 18:35:52,"1m - 21,576s",PASSED
,,,,,,
Test Cases/02_ProductLines/02a_Page_ProductLines-List/TC_02a1 PLList-Verifica Intestazioni,Firefox 57.0,Verifica la corretta esistenza delle intestazioni di colonna per la pagina PL,2017-12-05 18:34:31,2017-12-05 18:34:56,"25,600s",PASSED
callTestCase,Firefox 57.0,,2017-12-05 18:34:32,2017-12-05 18:34:52,"19,602s",PASSED
verifyElementPresent,Firefox 57.0,Verifica le intestazioni della tabella,2017-12-05 18:34:52,2017-12-05 18:34:52,"0,262s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:34:52,2017-12-05 18:34:55,"2,746s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:34:55,2017-12-05 18:34:55,"0,076s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:34:55,2017-12-05 18:34:55,"0,214s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:34:55,2017-12-05 18:34:55,"0,039s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:34:55,2017-12-05 18:34:55,"0,179s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:34:55,2017-12-05 18:34:55,"0,067s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:34:55,2017-12-05 18:34:56,"0,284s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:34:56,2017-12-05 18:34:56,"0,018s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:34:56,2017-12-05 18:34:56,"0,129s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:34:56,2017-12-05 18:34:56,"0,038s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:34:56,2017-12-05 18:34:56,"0,131s",PASSED
closeBrowser,Firefox 57.0,,2017-12-05 18:34:56,2017-12-05 18:34:56,"0,348s",PASSED
,,,,,,
Test Cases/02_ProductLines/02a_Page_ProductLines-List/TC_02a2 PLList-Verifica Select by Name,Firefox 57.0,,2017-12-05 18:34:56,2017-12-05 18:35:32,"35,394s",PASSED
callTestCase,Firefox 57.0,,2017-12-05 18:34:57,2017-12-05 18:35:11,"13,762s",PASSED
click,Firefox 57.0,,2017-12-05 18:35:11,2017-12-05 18:35:12,"1,051s",PASSED
click,Firefox 57.0,Seleziona e verifica risutato selezione,2017-12-05 18:35:12,2017-12-05 18:35:12,"0,385s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:35:12,2017-12-05 18:35:13,"0,413s",PASSED
