Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_07_FunctionalGroups,Firefox 57.0,,2017-12-05 18:38:25,2017-12-05 18:38:46,"21,443s",PASSED
,,,,,,
Test Cases/07_FunctionalGroups/TC_071_Functional Groups - Intestazioni,Firefox 57.0,,2017-12-05 18:38:25,2017-12-05 18:38:46,"20,856s",PASSED
callTestCase,Firefox 57.0,,2017-12-05 18:38:26,2017-12-05 18:38:42,"15,595s",PASSED
Statement - viewPort = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getViewportWidth(),Firefox 57.0,,2017-12-05 18:38:42,2017-12-05 18:38:42,"0,483s",PASSED
Statement - If (viewPort < 1400),Firefox 57.0,,2017-12-05 18:38:42,2017-12-05 18:38:43,"0,355s",PASSED
focus,Firefox 57.0,,2017-12-05 18:38:43,2017-12-05 18:38:43,"0,282s",PASSED
click,Firefox 57.0,,2017-12-05 18:38:43,2017-12-05 18:38:43,"0,279s",PASSED
click,Firefox 57.0,,2017-12-05 18:38:43,2017-12-05 18:38:43,"0,149s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:38:43,2017-12-05 18:38:44,"0,557s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:38:44,2017-12-05 18:38:44,"0,024s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:38:44,2017-12-05 18:38:44,"0,023s",PASSED
verifyElementPresent,Firefox 57.0,,2017-12-05 18:38:44,2017-12-05 18:38:44,"0,019s",PASSED
comment,Firefox 57.0,,2017-12-05 18:38:44,2017-12-05 18:38:44,"0,010s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:38:44,2017-12-05 18:38:45,"1,410s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:38:45,2017-12-05 18:38:46,"0,081s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:38:46,2017-12-05 18:38:46,"0,080s",PASSED
verifyElementText,Firefox 57.0,,2017-12-05 18:38:46,2017-12-05 18:38:46,"0,080s",PASSED
closeBrowser,Firefox 57.0,,2017-12-05 18:38:46,2017-12-05 18:38:46,"0,283s",PASSED
